PLAYER,SEASON,TEAM,Cluster,MIN,전체적인 평점,Salary
Joel Embiid,2022-23,PHI,2,34.6,13.005239828767696,33616770.0
Damian Lillard,2022-23,POR,2,36.3,11.73127177177532,42492492.0
Shai Gilgeous-Alexander,2022-23,OKC,3,35.5,10.596915268076188,30913750.0
Giannis Antetokounmpo,2022-23,MIL,3,32.1,15.068057338989538,42492492.0
Jayson Tatum,2022-23,BOS,3,36.9,13.797792368776374,30351780.0
Stephen Curry,2022-23,GSW,3,34.7,12.48171032115063,48070014.0
Kevin Durant,2022-23,PHX,3,35.6,9.783448054663788,44119845.0
LeBron James,2022-23,LAL,2,35.5,10.6829146957964,44474988.0
Donovan Mitchell,2022-23,CLE,2,35.8,11.02993873253828,30913750.0
Devin Booker,2022-23,PHX,2,34.6,10.833176265858524,33833400.0
Kyrie Irving,2022-23,DAL,3,37.3,8.784986211585815,38917057.0
Jaylen Brown,2022-23,BOS,2,35.9,9.692276667056095,29776785.0
Trae Young,2022-23,ATL,2,34.8,10.924593407953532,37096500.0
Ja Morant,2022-23,MEM,2,31.9,10.59724977687332,12119440.0
Anthony Davis,2022-23,LAL,3,34.0,9.005713008064527,37980720.0
Lauri Markkanen,2022-23,UTA,3,34.4,8.821376915516595,16475454.0
Julius Randle,2022-23,NYK,2,35.5,9.401024710574328,23760000.0
De'Aaron Fox,2022-23,SAC,3,33.4,8.328990326667189,30351780.0
Zach LaVine,2022-23,CHI,3,35.9,10.900626776766654,37096500.0
Brandon Ingram,2022-23,NOP,2,34.2,8.386503202210855,31650600.0
Anthony Edwards,2022-23,MIN,3,36.0,10.039150785557911,10733400.0
DeMar DeRozan,2022-23,CHI,3,36.2,11.005900353785597,27300000.0
Pascal Siakam,2022-23,TOR,2,37.4,8.452347261647102,35448672.0
Jalen Brunson,2022-23,NYK,2,35.0,7.86795532505264,27733332.0
Kawhi Leonard,2022-23,LAC,3,33.6,7.669993130120888,42492492.0
Paul George,2022-23,LAC,3,34.6,7.18212368861391,42492492.0
Bradley Beal,2022-23,WAS,3,33.5,6.917271087520621,43279250.0
Jimmy Butler,2022-23,MIA,2,33.4,6.164770920428587,37653300.0
Jalen Green,2022-23,HOU,3,34.2,9.396636710316972,9441840.0
Keldon Johnson,2022-23,SAS,3,32.8,8.537980851362569,3873024.0
Klay Thompson,2022-23,GSW,2,33.0,9.111323423358478,40600080.0
Darius Garland,2022-23,CLE,4,35.5,9.757136447969048,8920794.0
Desmond Bane,2022-23,MEM,2,31.7,7.538057318899417,2130240.0
Kyle Kuzma,2022-23,WAS,0,35.0,7.624840551411192,13000000.0
Terry Rozier,2022-23,CHA,1,35.3,7.634911279767859,21486316.0
Anfernee Simons,2022-23,POR,2,35.0,8.187966824515202,22321429.0
James Harden,2022-23,PHI,3,36.8,6.732043565720566,33000000.0
CJ McCollum,2022-23,NOP,4,35.3,8.014911376202338,33333333.0
Jordan Clarkson,2022-23,UTA,2,32.6,6.2752400766868695,13340000.0
Tyrese Haliburton,2022-23,IND,3,33.6,5.775270126914632,4215120.0
Jerami Grant,2022-23,POR,3,35.6,7.25797847806396,20955000.0
Dejounte Murray,2022-23,ATL,1,36.4,7.5698869944078115,17071120.0
Jordan Poole,2022-23,GSW,2,30.0,8.124049461500327,3901399.0
Bam Adebayo,2022-23,MIA,2,34.6,8.084669594337335,30351780.0
Tyrese Maxey,2022-23,PHI,3,33.6,6.8792909986314585,2726880.0
Kelly Oubre Jr.,2022-23,CHA,0,32.2,6.370156429544647,12600000.0
Mikal Bridges,2022-23,BKN,3,35.7,9.296775450854913,20100000.0
Tyler Herro,2022-23,MIA,3,34.9,7.207457314384735,5722116.0
Jamal Murray,2022-23,DEN,5,32.8,8.4410867274808,31650600.0
Paolo Banchero,2022-23,ORL,3,33.7,7.565527044737984,11055120.0
RJ Barrett,2022-23,NYK,2,33.9,7.652775979551333,10900634.0
Fred VanVleet,2022-23,TOR,3,36.7,8.337488938647976,21250000.0
Jrue Holiday,2022-23,MIL,0,32.6,8.322794916831938,34319520.0
