,PLAYER,SEASON,TEAM,Cluster,MIN
0,Allen Iverson,2000-01,PHI,1,41.9
1,Jerry Stackhouse,2000-01,DET,2,40.1
2,Shaquille O'Neal,2000-01,LAL,1,39.5
3,Kobe Bryant,2000-01,LAL,2,41.0
4,Vince Carter,2000-01,TOR,1,39.7
5,Chris Webber,2000-01,SAC,2,40.5
6,Tracy McGrady,2000-01,ORL,1,40.2
7,Paul Pierce,2000-01,BOS,1,38.1
8,Antawn Jamison,2000-01,GSW,1,41.4
9,Stephon Marbury,2000-01,NJN,2,38.2
10,Antoine Walker,2000-01,BOS,2,41.9
11,Karl Malone,2000-01,UTA,1,35.7
12,Gary Payton,2000-01,SEA,2,41.1
13,Tim Duncan,2000-01,SAS,1,38.7
14,Glenn Robinson,2000-01,MIL,1,37.0
15,Kevin Garnett,2000-01,MIN,2,39.5
16,Ray Allen,2000-01,MIL,2,38.2
17,Dirk Nowitzki,2000-01,DAL,1,38.1
18,Michael Finley,2000-01,DAL,2,42.0
19,Antonio McDyess,2000-01,DEN,1,36.5
20,Shareef Abdur-Rahim,2000-01,VAN,1,40.0
21,Jalen Rose,2000-01,IND,1,40.9
22,Peja Stojakovic,2000-01,SAC,1,38.7
23,Elton Brand,2000-01,CHI,1,39.3
24,Jamal Mashburn,2000-01,CHH,2,39.4
25,Steve Francis,2000-01,HOU,2,39.9
26,Jason Terry,2000-01,ATL,1,37.7
27,Ron Mercer,2000-01,CHI,1,41.5
28,Cuttino Mobley,2000-01,HOU,1,38.1
29,Rasheed Wallace,2000-01,POR,1,38.2
30,Reggie Miller,2000-01,IND,1,39.3
31,Allan Houston,2000-01,NYK,1,36.6
32,Sam Cassell,2000-01,MIL,1,35.7
33,Richard Hamilton,2000-01,WAS,1,32.3
34,Juwan Howard,2000-01,DAL,1,36.7
35,Nick Van Exel,2000-01,DEN,1,37.8
36,Latrell Sprewell,2000-01,NYK,1,39.1
37,Eddie Jones,2000-01,MIA,1,36.1
38,Shawn Marion,2000-01,PHX,1,36.2
39,David Wesley,2000-01,CHH,1,37.9
40,Lamar Odom,2000-01,LAC,2,37.2
41,Keith Van Horn,2000-01,NJN,1,35.3
42,Jason Kidd,2000-01,PHX,2,39.8
43,Larry Hughes,2000-01,GSW,1,36.9
44,Clifford Robinson,2000-01,PHX,1,33.6
45,Michael Dickerson,2000-01,VAN,1,37.4
46,Anthony Mason,2000-01,MIA,1,40.7
47,Terrell Brandon,2000-01,MIN,2,36.2
48,Mike Bibby,2000-01,VAN,1,38.9
49,Darrell Armstrong,2000-01,ORL,1,37.0
50,Andre Miller,2000-01,CLE,1,34.7
51,Steve Nash,2000-01,DAL,1,34.1
52,Derek Anderson,2000-01,SAS,1,34.9
53,Brian Grant,2000-01,MIA,1,33.8
54,Tim Hardaway,2000-01,MIA,1,33.9
55,Rashard Lewis,2000-01,SEA,1,34.9
56,David Robinson,2000-01,SAS,1,29.6
57,Wally Szczerbiak,2000-01,MIN,3,34.8
58,Baron Davis,2000-01,CHH,2,38.9
59,Antonio Davis,2000-01,TOR,3,35.0
60,Steven Smith,2000-01,POR,1,31.4
61,Donyell Marshall,2000-01,UTA,1,28.7
62,Marc Jackson,2000-01,GSW,3,29.3
63,Elden Campbell,2000-01,CHH,3,30.0
64,Maurice Taylor,2000-01,HOU,3,28.5
65,Damon Stoudamire,2000-01,POR,2,32.4
66,Ruben Patterson,2000-01,SEA,1,27.1
67,Raef LaFrentz,2000-01,DEN,1,31.5
68,Jeff McInnis,2000-01,LAC,2,34.9
69,Jermaine O'Neal,2000-01,IND,1,32.6
70,Lamond Murray,2000-01,CLE,1,28.5
71,Bonzi Wells,2000-01,POR,1,26.6
72,Tim Thomas,2000-01,MIL,1,27.4
73,Theo Ratliff,2000-01,PHI,1,36.0
74,Lorenzen Wright,2000-01,ATL,3,28.0
75,Doug Christie,2000-01,SAC,1,36.3
76,Joe Smith,2000-01,DET,3,28.1
77,Tony Delk,2000-01,PHX,1,27.9
78,Vin Baker,2000-01,SEA,3,28.0
79,Rodney Rogers,2000-01,PHX,1,26.6
80,Voshon Lenard,2000-01,DEN,1,29.2
81,Marcus Camby,2000-01,NYK,3,33.8
82,Vlade Divac,2000-01,SAC,1,29.8
83,Chucky Atkins,2000-01,DET,1,29.2
84,Glen Rice,2000-01,NYK,1,29.5
85,Kenyon Martin,2000-01,NJN,2,33.4
86,Bryon Russell,2000-01,UTA,1,31.7
87,Metta World Peace,2000-01,CHI,1,31.1
88,Travis Best,2000-01,IND,1,31.9
89,Mike Miller,2000-01,ORL,1,29.1
90,Hakeem Olajuwon,2000-01,HOU,3,26.6
91,Corliss Williamson,2000-01,DET,3,24.4
92,Aaron McKie,2000-01,PHI,2,31.5
93,John Stockton,2000-01,UTA,1,29.2
94,Jim Jackson,2000-01,CLE,1,30.2
95,Chris Gatling,2000-01,CLE,3,22.6
96,Clar. Weatherspoon,2000-01,CLE,3,33.9
97,Scottie Pippen,2000-01,POR,1,33.3
98,Matt Harpring,2000-01,CLE,3,28.8
99,Toni Kukoc,2000-01,ATL,2,24.6
100,Bob Sura,2000-01,GSW,1,31.7
101,Mookie Blaylock,2000-01,GSW,2,34.1
102,Johnny Newman,2000-01,NJN,1,25.0
103,Eric Piatkowski,2000-01,LAC,1,26.5
104,Anthony Peeler,2000-01,MIN,1,28.3
105,Alan Henderson,2000-01,ATL,3,24.8
106,Kurt Thomas,2000-01,NYK,3,27.6
107,Aaron Williams,2000-01,NJN,3,28.5
108,Austin Croshere,2000-01,IND,1,23.1
109,Arvydas Sabonis,2000-01,POR,1,21.2
110,Lindsey Hunter,2000-01,MIL,0,24.4
111,Corey Maggette,2000-01,LAC,3,19.7
112,Dikembe Mutombo,2000-01,PHI,3,34.6
113,Larry Johnson,2000-01,NYK,1,32.4
114,Eric Snow,2000-01,PHI,1,34.9
115,Alvin Williams,2000-01,TOR,2,29.2
116,Bryant Stith,2000-01,BOS,1,32.1
117,Patrick Ewing,2000-01,SEA,3,26.6
118,Rick Fox,2000-01,LAL,1,28.0
119,George McCloud,2000-01,DEN,1,26.4
120,Charles Oakley,2000-01,TOR,2,35.5
121,Tyrone Hill,2000-01,PHI,3,31.1
122,Courtney Alexander,2000-01,WAS,1,21.1
123,Marcus Fizer,2000-01,CHI,3,22.0
124,Chris Whitney,2000-01,WAS,1,26.0
125,Antonio Daniels,2000-01,SAS,1,26.1
126,LaPhonso Ellis,2000-01,MIN,3,23.7
127,Darius Miles,2000-01,LAC,3,26.4
128,Lucious Harris,2000-01,NJN,0,28.4
129,Jason Williams,2000-01,SAC,1,29.7
130,Morris Peterson,2000-01,TOR,1,22.6
131,Christian Laettner,2000-01,WAS,3,21.3
132,John Starks,2000-01,UTA,1,28.3
133,Chauncey Billups,2000-01,MIN,0,23.3
134,Kevin Willis,2000-01,DEN,3,23.4
135,Rod Strickland,2000-01,POR,1,25.4
136,Fred Hoiberg,2000-01,CHI,1,30.3
137,Howard Eisley,2000-01,DAL,1,29.6
138,Othella Harrington,2000-01,NYK,3,24.5
139,Brad Miller,2000-01,CHI,3,25.2
140,Brent Barry,2000-01,SEA,1,26.6
141,Shandon Anderson,2000-01,HOU,1,29.2
142,Chris Porter,2000-01,GSW,0,22.5
143,Jahidi White,2000-01,WAS,3,23.6
144,Michael Olowokandi,2000-01,LAC,3,25.9
145,Horace Grant,2000-01,LAL,3,31.0
146,P.J. Brown,2000-01,CHH,3,35.1
147,George Lynch,2000-01,PHI,1,32.3
148,Walt Williams,2000-01,HOU,0,22.0
149,Bryant Reeves,2000-01,VAN,3,24.4
150,Pat Garrity,2000-01,ORL,0,20.8
151,Tyrone Nesby,2000-01,WAS,0,25.1
152,Stephen Jackson,2000-01,NJN,1,21.6
153,James Posey,2000-01,DEN,3,27.5
154,Quentin Richardson,2000-01,LAC,0,17.8
155,Dana Barros,2000-01,DET,0,18.0
156,Hubert Davis,2000-01,WAS,0,25.7
157,John Amaechi,2000-01,ORL,3,20.9
158,Keon Clark,2000-01,TOR,3,21.2
159,Sean Elliott,2000-01,SAS,0,23.6
160,Felipe Lopez,2000-01,MIN,3,22.4
161,Malik Rose,2000-01,SAS,3,21.4
162,Nazr Mohammed,2000-01,ATL,3,15.8
163,Mark Jackson,2000-01,NYK,2,31.1
164,Bruce Bowen,2000-01,MIA,1,32.8
165,Isaiah Rider,2000-01,LAL,0,18.0
166,Chris Mihm,2000-01,CLE,3,19.7
167,Al Harrington,2000-01,IND,3,24.3
168,Vitaly Potapenko,2000-01,BOS,3,23.2
169,Eddie Robinson,2000-01,CHH,0,17.9
170,Erick Dampier,2000-01,GSW,3,24.2
171,Danny Manning,2000-01,UTA,3,15.9
172,Vonteego Cummings,2000-01,GSW,1,22.7
173,Bo Outlaw,2000-01,ORL,3,31.7
174,Bobby Jackson,2000-01,SAC,1,20.9
175,Terry Porter,2000-01,SAS,0,21.0
176,Dale Davis,2000-01,POR,3,26.7
177,Jason Caffey,2000-01,MIL,3,20.8
178,Wesley Person,2000-01,CLE,0,21.8
179,Kenny Thomas,2000-01,HOU,3,24.6
180,Charlie Ward,2000-01,NYK,0,24.5
181,Shawn Bradley,2000-01,DAL,3,24.4
182,Shammond Williams,2000-01,SEA,0,18.0
183,Chris Crawford,2000-01,ATL,3,19.2
184,Matt Maloney,2000-01,ATL,0,25.5
185,Moochie Norris,2000-01,HOU,0,20.1
186,Eric Williams,2000-01,BOS,0,21.5
187,Ron Harper,2000-01,LAL,0,24.2
188,Damon Jones,2000-01,VAN,0,19.9
189,Mahmoud Abdul-Rauf,2000-01,VAN,0,11.8
190,Shawn Kemp,2000-01,POR,0,15.9
191,Robert Pack,2000-01,DEN,2,17.0
192,Scot Pollard,2000-01,SAC,3,21.6
193,Ben Wallace,2000-01,DET,3,34.5
194,Anthony Carter,2000-01,MIA,1,22.7
195,Michael Doleac,2000-01,ORL,0,18.1
196,Tom Gugliotta,2000-01,PHX,0,20.4
197,Jerome Williams,2000-01,TOR,3,20.0
198,Bryce Drew,2000-01,CHI,0,27.2
199,Brevin Knight,2000-01,ATL,0,27.6
200,Khalid El-Amin,2000-01,CHI,0,18.7
201,Scott Williams,2000-01,MIL,3,19.2
202,Jacque Vaughn,2000-01,UTA,0,19.8
203,Dell Curry,2000-01,TOR,0,13.5
204,Grant Long,2000-01,VAN,0,22.9
205,Trajan Langdon,2000-01,CLE,0,17.2
206,Desmond Mason,2000-01,SEA,0,19.5
207,Dion Glover,2000-01,ATL,0,16.3
208,Keyon Dooling,2000-01,LAC,0,16.3
