Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
DEN,DEN vs. MIA,06/12/2023,W,240,94,38,84,45.2,5,28,17.9,13,23,56.5,11,46,57,21,6,7,15,13,5,2022-23
MIA,MIA @ DEN,06/12/2023,L,240,89,33,96,34.4,9,35,25.7,14,16,87.5,11,33,44,18,9,7,8,21,-5,2022-23
DEN,DEN @ MIA,06/09/2023,W,240,108,39,79,49.4,14,28,50.0,16,21,76.2,5,29,34,26,11,7,8,18,13,2022-23
MIA,MIA vs. DEN,06/09/2023,L,240,95,35,78,44.9,8,25,32.0,17,20,85.0,8,29,37,23,2,3,15,19,-13,2022-23
DEN,DEN @ MIA,06/07/2023,W,240,109,41,80,51.3,5,18,27.8,22,27,81.5,13,45,58,28,3,5,14,18,15,2022-23
MIA,MIA vs. DEN,06/07/2023,L,240,94,34,92,37.0,11,35,31.4,15,19,78.9,10,23,33,20,7,3,4,22,-15,2022-23
MIA,MIA @ DEN,06/04/2023,W,240,111,38,78,48.7,17,35,48.6,18,20,90.0,8,23,31,28,5,4,11,22,3,2022-23
DEN,DEN vs. MIA,06/04/2023,L,240,108,39,75,52.0,11,28,39.3,19,22,86.4,9,29,38,23,7,2,14,21,-3,2022-23
DEN,DEN vs. MIA,06/01/2023,W,240,104,40,79,50.6,8,27,29.6,16,20,80.0,6,39,45,29,4,4,10,8,11,2022-23
MIA,MIA @ DEN,06/01/2023,L,240,93,39,96,40.6,13,39,33.3,2,2,100,11,32,43,26,5,4,8,15,-11,2022-23
BOS,BOS vs. MIA,05/29/2023,L,240,84,32,82,39.0,9,42,21.4,11,13,84.6,10,30,40,18,6,4,15,13,-19,2022-23
MIA,MIA @ BOS,05/29/2023,W,240,103,42,86,48.8,14,28,50.0,5,6,83.3,7,35,42,26,7,2,14,15,19,2022-23
BOS,BOS @ MIA,05/27/2023,W,240,104,34,78,43.6,7,35,20.0,29,34,85.3,12,35,47,18,4,8,12,22,1,2022-23
MIA,MIA vs. BOS,05/27/2023,L,240,103,33,93,35.5,14,30,46.7,23,29,79.3,17,30,47,22,5,4,5,24,-1,2022-23
BOS,BOS vs. MIA,05/25/2023,W,240,110,40,79,50.6,16,39,41.0,14,19,73.7,12,25,37,23,13,4,10,9,13,2022-23
MIA,MIA @ BOS,05/25/2023,L,240,97,40,78,51.3,9,23,39.1,8,10,80.0,10,26,36,20,6,2,16,13,-13,2022-23
BOS,BOS @ MIA,05/23/2023,W,240,116,43,84,51.2,18,45,40.0,12,18,66.7,7,32,39,28,8,8,10,24,17,2022-23
MIA,MIA vs. BOS,05/23/2023,L,240,99,34,78,43.6,8,32,25.0,23,28,82.1,12,32,44,18,5,2,16,18,-17,2022-23
